"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2010","2010",3908.96,,
"AUT","Austria","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",3940.02,,
"AUT","Austria","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",4628.73,,
"AUT","Austria","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2010","2010",4119.57,,
"AUT","Austria","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2010","2010",4129.46,,
"AUT","Austria","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2010","2010",4093.29,,
"AUT","Austria","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",4068.7,,
"AUT","Austria","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",4107.6,,
"CAN","Canada","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","CAD","Canadian Dollar","6","millions",,,34097,,
"CAN","Canada","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","CAD","Canadian Dollar","6","millions",,,33724,,
"CAN","Canada","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","CAD","Canadian Dollar","6","millions",,,34547,,
"CAN","Canada","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","CAD","Canadian Dollar","6","millions",,,35568,,
"CAN","Canada","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","CAD","Canadian Dollar","6","millions",,,35810,,
"CAN","Canada","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","CAD","Canadian Dollar","6","millions","2007","2007",35665.75,,
"CAN","Canada","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","CAD","Canadian Dollar","6","millions","2007","2007",35152.5,,
"CAN","Canada","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","CAD","Canadian Dollar","6","millions","2007","2007",35588.75,,
"CAN","Canada","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","CAD","Canadian Dollar","6","millions","2007","2007",36475.5,,
"CAN","Canada","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","CAD","Canadian Dollar","6","millions","2007","2007",36633.5,,
"CZE","Czech Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","CZK","Czech Koruna","6","millions",,,51339,,
"CZE","Czech Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","CZK","Czech Koruna","6","millions",,,37257,,
